1000 2     0  
1000 3    0.001  
1000 4    0.003  
1000 5    0.023  
1000 6    0.304  
1000 7    3.21  
1000 8    40.08  
1024000 2    0.08  
1024000 3    0.159  
1024000 4    0.968  
1024000 5    2.917  
1024000 6    54.69  
128000 2    0.009  
128000 3    0.021  
128000 4    0.067  
128000 5    0.647  
128000 6    14.19  
128000 7    344.1  
128000 8  -1   
16000 2    0.001  
16000 3    0.003  
16000 4    0.013  
16000 5    0.151  
16000 6    3.265  
16000 7    61.77  
16000 8  -1   
2000 2     0  
2000 3    0.001  
2000 4    0.003  
2000 5    0.046  
2000 6    0.527  
2000 7    7.639  
2000 8    90.47  
256000 2    0.019  
256000 3    0.037  
256000 4    0.162  
256000 5    1.123  
256000 6    22.22  
256000 7  -1   
256000 8  -1   
32000 2     0  
32000 3     0  
32000 4    0.016  
32000 5    0.237  
32000 6    5.176  
32000 7    113  
32000 8  -1   
4000 2     0  
4000 3    0.001  
4000 4    0.006  
4000 5    0.069  
4000 6    0.915  
4000 7    17.19  
4000 8    215.8  
512000 2    0.04  
512000 3    0.083  
512000 4    0.298  
512000 5    1.92  
512000 6    35.33  
512000 7  -1   
512000 8  -1   
64000 2    0.005  
64000 3    0.011  
64000 4    0.037  
64000 5    0.389  
64000 6    8.863  
64000 7    191.6  
64000 8  -1   
8000 2     0  
8000 3    0.002  
8000 4    0.008  
8000 5    0.11  
8000 6    1.893  
8000 7    32.75  
8000 8  -1   
