100 2     0  
100 3     0  
100 4     0  
100 5    0.003  
100 6    0.05  
100 7    0.139  
100 8    0.316  
1117558 2    0.085  
1117558 3    0.175  
1117558 4    0.526  
1117558 5    2.947  
1117558 6    55.87  
1117558 7  -1   
1117558 8  -1   
1135 2     0  
1135 3     0  
1135 4    0.002  
1135 5    0.026  
1135 6    0.272  
1135 7    3.643  
1135 8    39.6  
12729678 2    1.072  
12729678 3    2.131  
12729678 4    5.734  
12729678 5    26.31  
12729678 6    437.6  
12729678 7  -1   
12729678 8  -1   
12921 2    0.002  
12921 3    0.003  
12921 4    0.013  
12921 5    0.139  
12921 6    2.82  
12921 7    52.26  
12921 8  -1   
147169 2    0.011  
147169 3    0.023  
147169 4    0.07  
147169 5    0.705  
147169 6    16.03  
147169 7  -1   
147169 8  -1   
150 2     0  
150 3     0  
150 4    0.001  
150 5    0.005  
150 6    0.025  
150 7    0.119  
150 8    1.023  
1676337 2    0.126  
1676337 3    0.34  
1676337 4    0.883  
1676337 5    4.376  
1676337 6    76.56  
1676337 7  -1   
1676337 8  -1   
1702 2    0.001  
1702 3    0.001  
1702 4    0.003  
1702 5    0.053  
1702 6    0.517  
1702 7    5.93  
1702 8    69.1  
19381 2    0.001  
19381 3    0.004  
19381 4    0.015  
19381 5    0.205  
19381 6    3.89  
19381 7    71.6  
19381 8  -1   
220753 2    0.016  
220753 3    0.031  
220753 4    0.141  
220753 5    0.994  
220753 6    20.29  
220753 7  -1   
220753 8  -1   
225 2     0  
225 3     0  
225 4    0.002  
225 5    0.016  
225 6    0.114  
225 7    0.356  
225 8    2.788  
2514505 2    0.191  
2514505 3    0.421  
2514505 4    1.273  
2514505 5    6.204  
2514505 6    102.9  
2514505 7  -1   
2514505 8  -1   
2553 2    0.002  
2553 3     0  
2553 4    0.01  
2553 5    0.074  
2553 6    0.647  
2553 7    10.38  
2553 8    132.4  
29071 2    0.002  
29071 3    0.005  
29071 4    0.021  
29071 5    0.28  
29071 6    5.349  
29071 7    105  
29071 8  -1   
331129 2    0.044  
331129 3    0.056  
331129 4    0.212  
331129 5    1.283  
331129 6    26.28  
331129 7  -1   
331129 8  -1   
337 2    0.001  
337 3    0.001  
337 4    0.002  
337 5    0.023  
337 6    0.067  
337 7    0.65  
337 8    6.834  
3771757 2    0.304  
3771757 3    0.609  
3771757 4    1.878  
3771757 5    8.202  
3771757 6    134.4  
3771757 7  -1   
3771757 8  -1   
3829 2     0  
3829 3    0.001  
3829 4    0.006  
3829 5    0.064  
3829 6    1.029  
3829 7    16.1  
3829 8    204.9  
43606 2    0.003  
43606 3    0.008  
43606 4    0.033  
43606 5    0.326  
43606 6    6.696  
43606 7    146.7  
43606 8  -1   
496693 2    0.038  
496693 3    0.102  
496693 4    0.249  
496693 5    1.821  
496693 6    34.95  
496693 7  -1   
496693 8  -1   
505 2     0  
505 3     0  
505 4    0.002  
505 5    0.014  
505 6    0.121  
505 7    1.114  
505 8    12.44  
5657635 2    0.44  
5657635 3    0.867  
5657635 4    2.717  
5657635 5    11.56  
5657635 6    183  
5657635 7  -1   
5657635 8  -1   
5743 2     0  
5743 3    0.001  
5743 4    0.006  
5743 5    0.076  
5743 6    1.342  
5743 7    25.24  
5743 8  -1   
65409 2    0.006  
65409 3    0.011  
65409 4    0.047  
65409 5    0.441  
65409 6    8.953  
65409 7    214.2  
65409 8  -1   
745039 2    0.059  
745039 3    0.15  
745039 4    0.464  
745039 5    2.826  
745039 6    48.37  
745039 7  -1   
745039 8  -1   
757 2    0.001  
757 3     0  
757 4    0.005  
757 5    0.052  
757 6    0.177  
757 7    2.305  
757 8    24.59  
8486452 2    0.687  
8486452 3    1.464  
8486452 4    4.593  
8486452 5    22.01  
8486452 6    264.3  
8486452 7  -1   
8486452 8  -1   
8614 2    0.001  
8614 3    0.002  
8614 4    0.009  
8614 5    0.117  
8614 6    2.106  
8614 7    36.9  
8614 8  -1   
98113 2    0.007  
98113 3    0.015  
98113 4    0.061  
98113 5    0.527  
98113 6    12.25  
98113 7    267.8  
98113 8  -1   
